CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,ANIO,MES,TEMP_MEDIA_MENSUAL,Unidad
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,1,1.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,2,5.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,3,3.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,4,5.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,5,0.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,6,-0.2,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,7,-1.3,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,8,-1.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,9,0.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,10,-0.0,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1998,12,0.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,1,1.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,2,1.6,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,3,1.4,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,4,1.7,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,5,0.5,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,6,-3.8,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,7,-4.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,8,-0.9,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,9,2.5,°C
01001005,CAQUENA,1,DE TARAPACA,PUTRE,0180315  ,0691206  ,478657,8003813,4400,1999,10,0.1,°C
